task_id,title,pft,assignee,state,last_update_utc,days_stuck_min,disposition,accept_by_hint,source
task_04037f0709159cb7411e92b29417d62b,Investigate and Fix Hive Tab Concurrent Load Latency,20000,grashnuk,proposed,2026-06-27T01:04:25Z,12,reassign,48h,board_snapshot
task_90ef962985a5b38385b7b62c3472dedb,Reproduce Task History Loss After Interface Change,3000,snakespartan,proposed,2026-06-27T02:17:21Z,12,reassign_reprice,48h,board_snapshot
task_b0422b85a98bc7159268eed8a50e055e,Document Review Pipeline QA Findings,20000,local-maxima,proposed,2026-06-27T19:20:17Z,11,timeout,,board_snapshot
task_cca610794aa7b1df2553f18ac0e0b572,Document Hive Context Isolation UX Issues,15000,ligaya,proposed,2026-06-29T15:42:32Z,9,timeout,,board_snapshot
task_3c803fb44cc27355c82af1750be6c6d1,Create Sybil Verification Payload From Prior Findings,20000,kenobidesigns,proposed,2026-06-30T22:44:24Z,8,reassign,48h,board_snapshot
task_f40fc4812607a1f98fb6a349c4996ae1,Publish an X Thread Explaining How Post Fiat Works,18000,gmoney,proposed,2026-07-09T04:23:27Z,0,keep,,board_snapshot
task_d37c6b16c8c1badba7eda26331435ff3,Mobile scroll cutoff reproduction,,unknown,proposed,2026-06-26,13,timeout,,project_document
task_5a20810ab95649a6019c048014a91f5a,Taskgen hallucination expert review,25000,georgl0nggamma,proposed,,,reassign,48h,project_document
task_14557de2d797ef0c8760a601f6203a94,Taskgen hallucination expert review (2nd),,unknown,proposed,,,reassign,48h,project_document
task_c384768b,Task-state sync reproduction,,unknown,proposed,,,keep_escalate,,project_document
badge_onboarding_batch,~20 badge onboarding tasks @100 PFT,2000,various,proposed,2026-06-25,14,cancel_bulk,,project_document
